GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UniCinema,Authentication.service,AuthenticationServiceMethods,0,29,0,0,0,8,0,5,0,5
UniCinema,Signup.controller,SignupServlet,15,123,1,3,4,32,1,6,0,5
UniCinema,ReviewManager.controller,ReviewServlet,25,316,2,20,5,63,2,16,0,6
UniCinema,FilmManager.service,FilmManagerServiceMethods,0,127,0,20,0,30,0,19,0,9
UniCinema,ShowManager.controller,ShowManagerServlet,33,453,12,34,11,101,11,22,0,8
UniCinema,FilmInfo.service,FilmServiceMethods,10,22,0,0,2,7,2,4,2,4
UniCinema,FilmManager.controller,FilmManagerServlet,157,890,40,61,51,191,37,23,0,8
UniCinema,PageManager,PageServlet,11,61,0,2,4,16,1,4,1,3
UniCinema,PurchaseManager.service,PurchaseServiceMethods,0,54,0,0,0,14,0,9,0,9
UniCinema,PurchaseManager.controller,PurchaseServlet,54,377,4,28,15,84,4,19,0,6
UniCinema,ShowManager.service,ShowServiceMethods,5,67,0,0,1,18,1,11,1,11
UniCinema,ReviewManager.service,ReviewServiceMethods,0,128,0,16,0,28,0,19,0,11
UniCinema,Signup.service,SignupServiceMethods,0,17,0,0,0,6,0,3,0,3
UniCinema,Authentication.controller,AuthenticationServlet,36,318,5,28,11,82,5,20,0,7
UniCinema,FilmInfo.controller,FilmInfoServlet,23,226,5,14,7,55,5,11,0,6
